exp_time,Routine,Condition,sync_value,sync_beat(bpm),async_value,async_beat(bpm),display_value,display_beat,alphaGlow_value
0.1901,routine,LeftSync,1.6447499752,0.0,1.6961,0.0,1.6961,0,0.0
0.2288,routine,LeftSync,2.74656033515,0.0,1.6961,0.0,1.6961,0,0.0
0.2841,routine,LeftSync,3.41362563763,0.0,1.6961,0.0,1.6961,0,0.0
0.3166,routine,LeftSync,2.015755701,0.0,1.6961,0.0,1.6961,0,0.0
0.3453,routine,LeftSync,1.3533916473,0.0,1.6961,0.0,1.6961,0,0.0
0.3916,routine,LeftSync,2.03828924493,0.0,1.6961,0.0,1.6961,0,0.0
0.4437,routine,LeftSync,3.4628907839,0.0,1.6961,0.0,1.6961,0,0.0
0.4784,routine,LeftSync,2.4988112449,0.0,1.6961,0.0,1.6961,0,0.0
0.5143,routine,LeftSync,1.43437422745,0.0,1.6961,0.0,1.6961,0,0.0
0.5496,routine,LeftSync,1.918362689,0.0,1.6961,0.0,1.6961,0,0.0
0.5703,routine,LeftSync,2.8425359725,0.0,1.6961,0.0,1.6961,0,0.0
0.6032,routine,LeftSync,3.56422603125,0.0,1.6961,0.0,1.6961,0,0.0
0.6405,routine,LeftSync,2.9381126165,0.0,1.6961,0.0,1.6961,0,0.0
0.6786,routine,LeftSync,1.63144222255,0.0,1.6961,0.0,1.6961,0,0.0
0.7157,routine,LeftSync,1.63885796065,0.0,1.6961,0.0,1.6961,0,0.0
0.7499,routine,LeftSync,2.73938870425,0.0,1.6961,0.0,1.6961,0,0.0
0.7855,routine,LeftSync,3.54810404775,0.0,1.6961,0.0,1.6961,0,0.0
0.8195,routine,LeftSync,2.7174661159,0.0,1.6961,0.0,1.6961,0,0.0
0.8733,routine,LeftSync,1.52842391327,0.0,1.6961,0.0,1.6961,0,0.0
0.9294,routine,LeftSync,2.6549936135,0.0,1.6961,0.0,1.6961,0,0.0
0.9627,routine,LeftSync,3.53908264635,0.0,1.6961,0.0,1.6961,0,0.0
0.9797,routine,LeftSync,2.8576865196,0.0,1.6961,0.0,1.6961,0,0.0
1.0359,routine,LeftSync,1.66641771633,0.0,1.6961,0.0,1.6961,0,0.0
1.0863,routine,LeftSync,2.23168659207,0.0,1.6961,0.0,1.6961,0,0.0
1.1232,routine,LeftSync,3.56833934775,0.0,1.6961,0.0,1.6961,0,0.0
1.1617,routine,LeftSync,2.93911266325,0.0,1.6961,0.0,1.6961,0,0.0
1.1942,routine,LeftSync,1.627751851,0.0,1.6961,0.0,1.6961,0,0.0
1.2308,routine,LeftSync,1.62269906995,0.0,1.6961,0.0,1.6961,0,0.0
1.2703,routine,LeftSync,2.7310765981,0.0,1.6961,0.0,1.6961,0,0.0
