time,trial,percentAsynch,beatSynch,beatAsynch,stimLeft,stimRight
1.9233146,1,120.0,0,1,0,1
2.2550721,1,120.0,1,0,1,0
2.5911582,1,120.0,0,1,0,1
3.256662,1,120.0,1,0,1,0
3.2733216,1,120.0,0,1,0,1
3.9560199,1,120.0,0,1,0,1
4.2568911,1,120.0,1,0,1,0
4.6393347,1,120.0,0,1,0,1
5.2721776,1,120.0,1,0,1,0
5.321251,1,120.0,0,1,0,1
5.9903134,1,120.0,0,1,0,1
6.2880007,1,120.0,1,0,1,0
6.6727981,1,120.0,0,1,0,1
7.3041001,1,120.0,1,0,1,0
7.3541549,1,120.0,0,1,0,1
8.0218676,1,120.0,0,1,0,1
8.3187629,1,120.0,1,0,1,0
8.7040971,1,120.0,0,1,0,1
9.3213184,1,120.0,1,0,1,0
9.384333,1,120.0,0,1,0,1
10.054326,1,120.0,0,1,0,1
10.3369245,1,120.0,1,0,1,0
10.7355499,1,120.0,0,1,0,1
11.3527218,1,120.0,1,0,1,0
11.4025331,1,120.0,0,1,0,1
12.0692137,1,120.0,0,1,0,1
12.3668964,1,120.0,1,0,1,0
12.7521913,1,120.0,0,1,0,1
13.3685799,1,120.0,1,0,1,0
13.4348583,1,120.0,0,1,0,1
14.1184482,1,120.0,0,1,0,1
14.3852596,1,120.0,1,0,1,0
14.8003935,1,120.0,0,1,0,1
